Id,Label,ns:computer.programming_language.introduced
ns:m.04f41y,CMS-2,1968
ns:m.04f62sk,Net.Data,
ns:m.04g1zgl,JFugue,
ns:m.04g2qjv,Q,2003
ns:m.04gnjjy,chomski,2007
ns:m.04grg7w,Python for S60,2006
ns:m.04gtd0w,SCAR programming language,2003
ns:m.04h4mm,EGL,2005
ns:m.04h5hy,IBM HAScript,
ns:m.04j9q4g,SAS language,
ns:m.04jd4mk,PGF/TikZ,
ns:m.04jfk1r,Fantom,2007
ns:m.04jmsgx,MVEL,
ns:m.04kn35,SKI combinator calculus,
ns:m.04kyw,Lisp,1958
ns:m.04kzq5,Pipeline,
ns:m.04lclb0,Turtle Talk,
ns:m.04ldrth,Objective-J,2008
ns:m.04lgm_f,NS Basic,
ns:m.04lj88t,PLEXIL,2005
ns:m.04m75m,Maude system,
ns:m.04m_ztl,DECLAN Pro,2008
ns:m.04mg4,Lambda calculus,
ns:m.04n7j8q,M,2008
ns:m.04n8q,Logo,1967
ns:m.04p4mh,Action!,
ns:m.04ppx,Lynx,
ns:m.04pxck,MLton,
ns:m.04pzdj,F,
ns:m.04q2br,Esterel,
ns:m.04q84w1,ATS,
ns:m.04qxmx,SASL,1972
ns:m.04shbz,Model 204,
ns:m.04t28l,PFXplus,
ns:m.04tg37,Parakeet,
ns:m.04w43s,Object REXX,
ns:m.04wyyl,Charity,1992
ns:m.04xdsc,KiXtart,
ns:m.04xw5j,E,1997
ns:m.04y7x16,Scieneer Common Lisp,
ns:m.04ybtsc,Ioke,2008-11-06
ns:m.04ycw5z,Reia,2008
ns:m.04ycygx,PointDragon,
ns:m.04yf9ks,Kaya,2004
ns:m.04ygytb,Microsoft Small Basic,2008-10-01
ns:m.04zk4yc,eZ Template language,
ns:m.04zs6,MUMPS,1966
ns:m.04zsm,Mercury,1995-04-08
ns:m.04zwp_z,FACT,1959
ns:m.04zzxjs,Pure,
ns:m.0508gj,C--,1997
ns:m.050f_,Mesa,
ns:m.051624,Karel,1981
ns:m.051bn,Microassembler,
ns:m.051kvfb,Lilith programming language,
ns:m.051rmx5,Pop,
ns:m.051rpm_,Digital Standard MUMPS,
ns:m.0521mgd,Scriptol,
ns:m.0521z,MOO,1990
ns:m.052vqr6,Parlog,
ns:m.053_x,MATLAB,
ns:m.053dv,Mary,
ns:m.054k6n_,Sass,2007
ns:m.0555r6,Lucid,1976
ns:m.055mc,ML,1973
ns:m.057fd,Modula,
ns:m.05967y,PL/pgSQL,
ns:m.059xl9,DG scripts,
ns:m.05_y29,CAL,
ns:m.05b4196,Boomerang,2008
ns:m.05b4hst,Active Oberon,
ns:m.05b93m,TACL,
ns:m.05b9cr,Transaction Application Language,
ns:m.05bkhn,FILECOMP,
ns:m.05bq496,Raven,
ns:m.05bq49g,Enchilada,
ns:m.05bq49v,Staapl,
ns:m.05bw2b,BeanShell,1999
ns:m.05bzv69,Ambi,2009
ns:m.05c336c,Bertrand,
ns:m.05c3tx3,Lightweight Java,
ns:m.05c414v,Cryptol,
ns:m.05c586,STRINGCOMP,
ns:m.05c5dj,Strongtalk,
ns:m.05cntt,JSON,2002
ns:m.05dts,Nial,1981
ns:m.05dwhk,Modelling of General Systems,
ns:m.05f_x0,LOOM,
ns:m.05fxv0,IPTSCRAE,
ns:m.05gb7t,AMPL,1985
ns:m.05gv1_,xHarbour,
ns:m.05h5g7,Autocode,
ns:m.05hl_8,Dartmouth ALGOL 30,
ns:m.05hn2y,SubL,
ns:m.05hp2y,Span,
ns:m.05hwnf,Moby,
ns:m.05jj59,Converge,
ns:m.05kl94h,Befunge97,
ns:m.05kl94q,Befunge93,
ns:m.05l1s8,PBASIC,
ns:m.05mrv,Oberon,1986
ns:m.05mxmzj,Falcon,2003
ns:m.05nn80,Maya Embedded Language,
ns:m.05nrws,Moto programming language,
ns:m.05p0d,occam,1983
ns:m.05p4tb2,GOAL agent programming language,
ns:m.05p8z6f,GScript,
ns:m.05pxcv,CobolScript,
ns:m.05q31,Objective-C,1986
ns:m.05q4vfd,Smith,
ns:m.05q5900,Simgua,
